date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:13	119/119	---MCZ	200	added ('OK')	text/plain	etag:W/%22bf-5e2092d26d4cf%22	http://dsipaint.com/robots.txt		(from )
08:54:13	3152/3152	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jul%202023%2012:55:13%20GMT	http://dsipaint.com/games/yortzee/	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/index.html	(from )
08:54:14	1309/1309	---MCZ	200	added ('OK')	text/css	etag:W/%2251d-5e21581d4fbb6%22	http://dsipaint.com/games/yortzee/style.css	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/style.css	(from http://dsipaint.com/games/yortzee/)
08:54:14	5506/5506	---MCZ	200	added ('OK')	application/javascript	etag:W/%221582-5e21582d63ef1%22	http://dsipaint.com/games/yortzee/scripts/yortzee.js	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/scripts/yortzee.js	(from http://dsipaint.com/games/yortzee/)
08:54:14	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5e1b02191f287%22	http://dsipaint.com/images/backgrounds/background0.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/images/backgrounds/background0.png	(from http://dsipaint.com/games/yortzee/)
08:54:15	3187/3187	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jul%202023%2012:55:14%20GMT	http://dsipaint.com/games/yortzee/highscores.php	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/highscores.html	(from http://dsipaint.com/games/yortzee/)
08:54:15	1212/1212	---M--	200	added ('OK')	image/png	etag:%224bc-5e21582cc1d32%22	http://dsipaint.com/games/yortzee/images/yorick.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/yorick.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:15	486/486	---M--	200	added ('OK')	image/png	etag:%221e6-5e21582cb80f2%22	http://dsipaint.com/games/yortzee/images/1.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/1.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:15	512/512	---M--	200	added ('OK')	image/png	etag:%22200-5e21582c90053%22	http://dsipaint.com/games/yortzee/images/2.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/2.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:15	560/560	---M--	200	added ('OK')	image/png	etag:%22230-5e21582c9ac33%22	http://dsipaint.com/games/yortzee/images/3.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/3.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:15	591/591	---M--	200	added ('OK')	image/png	etag:%2224f-5e21582c4ba93%22	http://dsipaint.com/games/yortzee/images/4.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/4.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:16	621/621	---M--	200	added ('OK')	image/png	etag:%2226d-5e21582c68f53%22	http://dsipaint.com/games/yortzee/images/5.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/5.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:16	641/641	---M--	200	added ('OK')	image/png	etag:%22281-5e21582c72b93%22	http://dsipaint.com/games/yortzee/images/6.png	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/images/6.png	(from http://dsipaint.com/games/yortzee/style.css)
08:54:16	3152/3152	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jul%202023%2012:55:16%20GMT	http://dsipaint.com/games/yortzee/index.php	E:/New%20folder/TDKCADE/yortzee/dsipaint.com/games/yortzee/index-2.html	(from http://dsipaint.com/games/yortzee/highscores.php)
